2.412090759970000136e+02 2.000000000000000000e+00
2.412095759970000017e+02 2.000000000000000000e+00
2.412100759970000468e+02 1.000000000000000000e+00
2.412105759970000349e+02 0.000000000000000000e+00
2.412110759970000800e+02 1.000000000000000000e+00
2.412115759970000681e+02 3.000000000000000000e+00
2.412120759970001131e+02 0.000000000000000000e+00
2.412125759970001013e+02 0.000000000000000000e+00
2.412130759970001463e+02 0.000000000000000000e+00
2.412135759970001345e+02 1.000000000000000000e+00
2.412140759970001795e+02 3.000000000000000000e+00
2.412145759970001677e+02 4.000000000000000000e+00
2.412150759970002127e+02 1.000000000000000000e+00
2.412155759970002009e+02 0.000000000000000000e+00
2.412160759970002459e+02 2.000000000000000000e+00
2.412165759970002341e+02 2.000000000000000000e+00
2.412170759970002791e+02 0.000000000000000000e+00
2.412175759970002673e+02 2.000000000000000000e+00
2.412180759970003123e+02 2.000000000000000000e+00
2.412185759970003005e+02 3.000000000000000000e+00
2.412190759970003455e+02 2.000000000000000000e+00
2.412195759970003337e+02 2.000000000000000000e+00
2.412200759970003787e+02 3.000000000000000000e+00
2.412205759970003669e+02 2.000000000000000000e+00
2.412210759970004119e+02 2.000000000000000000e+00
2.412215759970004001e+02 3.000000000000000000e+00
2.412220759970004451e+02 2.000000000000000000e+00
2.412225759970004333e+02 2.000000000000000000e+00
2.412230759970004783e+02 2.000000000000000000e+00
2.412235759970004665e+02 0.000000000000000000e+00
2.412240759970005115e+02 3.000000000000000000e+00
2.412245759970004997e+02 2.000000000000000000e+00
2.412250759970005447e+02 1.000000000000000000e+00
2.412255759970005329e+02 0.000000000000000000e+00
2.412260759970005779e+02 4.000000000000000000e+00
2.412265759970005661e+02 1.000000000000000000e+00
2.412270759970006111e+02 3.000000000000000000e+00
2.412275759970005993e+02 1.000000000000000000e+00
2.412280759970006443e+02 1.000000000000000000e+00
2.412285759970006325e+02 3.000000000000000000e+00
2.412290759970006775e+02 1.000000000000000000e+00
2.412295759970006657e+02 1.000000000000000000e+00
2.412300759970007107e+02 2.000000000000000000e+00
2.412305759970006989e+02 2.000000000000000000e+00
2.412310759970007439e+02 1.000000000000000000e+00
2.412315759970007321e+02 0.000000000000000000e+00
2.412320759970007771e+02 2.000000000000000000e+00
2.412325759970007653e+02 2.000000000000000000e+00
